book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
Speak,Laurie Halse Anderson,Paperback,978315741403,208 ,4.01,408879
Howl's Moving Castle,Diana Wynne Jones,Mass Market Paperback,978315741404,329 ,4.3,162207
Cinder,Marissa Meyer,Hardcover,978315741405,390 ,4.15,548169
Neverwhere,Neil Gaiman,Paperback,978315741406,370 ,4.17,351462
The Historian,Elizabeth Kostova,Paperback,978315741407,704 ,3.78,221959
Uncle Tom's Cabin,Harriet Beecher Stowe,Paperback,978315741408,438 ,3.85,172110
Invisible Man,Ralph Ellison,Paperback,978315741409,581 ,3.85,138822
James and the Giant Peach,Roald Dahl|Quentin Blake,Hardcover,978315741410,146 ,4,321062
Inkheart,Cornelia Funke|Anthea Bell,Paperback,978315741411,548 ,3.87,319725
All Creatures Great and Small,James Herriot,Paperback,978315741412,448 ,4.32,103040
Leaves of Grass,Walt Whitman,Paperback,978315741413,624 ,4.12,76519
The Thirteenth Tale,Diane Setterfield,Hardcover,978315741414,406 ,3.95,242608
Graceling,Kristin Cashore,Hardcover,978315741415,471 ,4.09,332098
Candide,Voltaire,Paperback,978315741416,129 ,3.76,190017
The Cider House Rules,John Irving,Hardcover,978315741417,973 ,4.11,143318
Paradise Lost,John Milton|John      Leonard,Paperback,978315741418,453 ,3.8,113769
The Things They Carried,Tim O'Brien,Paperback,978315741419,246 ,4.12,214731
Different Seasons,Stephen King,Mass Market Paperback,978315741420,560 ,4.35,151683
Where the Red Fern Grows,Wilson Rawls,Mass Market Paperback,978315741421,272 ,4.05,300421
The Complete Works,William Shakespeare,Leather Bound,978315741422,1248 ,4.49,47899
